traj_id,文件名,bean_code,drop_code,①号位豆子,②号位豆子,③号位豆子,数字1在几号位,数字2在几号位,数字3在几号位,数字4在几号位,数字5在几号位
219,P0219.BIN,3,39,绿豆,白芸豆,黄豆,⑦号位,⑤号位,④号位,⑥号位,⑧号位
220,P0220.BIN,3,40,绿豆,白芸豆,黄豆,⑦号位,⑤号位,⑥号位,④号位,⑧号位
221,P0221.BIN,3,41,绿豆,白芸豆,黄豆,⑦号位,⑤号位,⑧号位,④号位,⑥号位
222,P0222.BIN,3,42,绿豆,白芸豆,黄豆,⑦号位,⑥号位,④号位,⑤号位,⑧号位
223,P0223.BIN,3,43,绿豆,白芸豆,黄豆,⑦号位,⑥号位,⑤号位,④号位,⑧号位
224,P0224.BIN,3,44,绿豆,白芸豆,黄豆,⑦号位,⑥号位,⑧号位,④号位,⑤号位
225,P0225.BIN,3,45,绿豆,白芸豆,黄豆,⑦号位,⑧号位,④号位,⑤号位,⑥号位
226,P0226.BIN,3,46,绿豆,白芸豆,黄豆,⑦号位,⑧号位,⑤号位,④号位,⑥号位
227,P0227.BIN,3,47,绿豆,白芸豆,黄豆,⑦号位,⑧号位,⑥号位,④号位,⑤号位
228,P0228.BIN,3,48,绿豆,白芸豆,黄豆,⑧号位,④号位,⑤号位,⑥号位,⑦号位
229,P0229.BIN,3,49,绿豆,白芸豆,黄豆,⑧号位,④号位,⑥号位,⑤号位,⑦号位
230,P0230.BIN,3,50,绿豆,白芸豆,黄豆,⑧号位,④号位,⑦号位,⑤号位,⑥号位
